"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"13/05/2012 ",20,16,21,"n/a ",0,"n/a "," "
"14/05/2012 ",19,12,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/05/2012 ",17,10,39.2,53,"n/a ","n/a ","Rain (or Drizzle)"
"16/05/2012 ",16,10,37.8,54.5,"n/a ","n/a ","Rain (or Drizzle) Snow (or Ice Pellets)"
"17/05/2012 ",17,13,32,41.8,0,"n/a "," "
"18/05/2012 ",18,12,36.4,50.2,"n/a ","n/a ","Rain (or Drizzle)"
"19/05/2012 ",16,6,23.6,"n/a ",0,"n/a "," "
"20/05/2012 ",16,9,19.6,"n/a ",0,"n/a "," "
"21/05/2012 ",17,7,7.1,"n/a ",0,"n/a "," "
"22/05/2012 ",15,5,8.4,"n/a ",0,"n/a "," "
"23/05/2012 ",16,7,9.8,"n/a ",0,"n/a "," "
"24/05/2012 ",17,8,18.2,"n/a ",0,"n/a "," "
"25/05/2012 ",17,9,19.6,"n/a ",0,"n/a ","Fog"
"26/05/2012 ",17,12,21,"n/a ",0,"n/a ","Fog"
"27/05/2012 ",17,14,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"28/05/2012 ",16,12,23.6,37.8,"n/a ","n/a ","Rain (or Drizzle)"
"29/05/2012 ",15,4,23.6,"n/a ",0,"n/a "," "
"30/05/2012 ",15,11,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"31/05/2012 ",16,8,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle) "
"01/06/2012 ",15,5,16.8,"n/a ",0,"n/a "," "
"02/06/2012 ",16,11,9.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"03/06/2012 ",17,9,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"04/06/2012 ",17,11,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/06/2012 ",19,15,32,46.1,"n/a ","n/a ","Rain (or Drizzle)"
"06/06/2012 ",19,13,16.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"07/06/2012 ",15,9,15.5,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/06/2012 ",16,10,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"09/06/2012 ",17,12,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"10/06/2012 ",16,12,21,"n/a ",0,"n/a "," "
"11/06/2012 ",15,12,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"12/06/2012 ",15,4,16.8,"n/a ",0,"n/a "," "
"13/06/2012 ",12,5,12.4,"n/a ",0,"n/a "," "
"14/06/2012 ",14,5,8.4,"n/a ",0,"n/a "," "
"15/06/2012 ",13,5,16.8,"n/a ",0,"n/a "," "
"16/06/2012 ",12,2,21,"n/a ",0,"n/a "," "
"17/06/2012 ",14,5,25.3,"n/a ",0,"n/a "," "
"18/06/2012 ",15,10,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"19/06/2012 ",16,10,16.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"20/06/2012 ",16,9,15.5,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"21/06/2012 ",16,9,12.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"22/06/2012 ",16,8,15.5,"n/a ",0,"n/a "," "
"23/06/2012 ",16,13,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"24/06/2012 ",15,9,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"25/06/2012 ",15,10,32,57.3,"n/a ","n/a ","Rain (or Drizzle)"
"26/06/2012 ",14,9,37.8,51.6,"n/a ","n/a ","Rain (or Drizzle)"
"27/06/2012 ",14,11,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"28/06/2012 ",15,10,33.4,43.2,"n/a ","n/a ","Rain (or Drizzle)"
"29/06/2012 ",14,4,18.2,"n/a ",0,"n/a "," "
"30/06/2012 ",11,6,13.8,"n/a ",0,"n/a ","  "
"01/07/2012 ",13,7,18.2,"n/a ",0,"n/a "," "
"02/07/2012 ",13,11,28,33.4,"n/a ","n/a ","Rain (or Drizzle)"
"03/07/2012 ",14,7,25.3,37.8,"n/a ","n/a ","Fog"
"Rain (or Drizzle)""04/07/2012 ",15,7,19.6,"n/a ",0,"n/a ","Fog"
"05/07/2012 ",10,6,8.4,"n/a ",0,"n/a ","Fog"
"06/07/2012 ",14,7,11.2,"n/a ",0,"n/a "," "
"07/07/2012 ",13,3,15.5,"n/a ",0,"n/a "," "
"08/07/2012 ",12,3,15.5,"n/a ",0,"n/a "," "
"09/07/2012 ",13,3,5.7,"n/a ",0,"n/a ","Fog"
"10/07/2012 ",13,2,8.4,"n/a ",0,"n/a ","Fog"
"11/07/2012 ",13,9,7.1,"n/a ",0,"n/a "," "
"12/07/2012 ",14,9,9.8,"n/a ",0,"n/a "," "
"13/07/2012 ",15,9,12.4,"n/a ",0,"n/a "," "
"14/07/2012 ",16,13,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/07/2012 ",16,14,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"16/07/2012 ",16,11,39.2,43.2,"n/a ","n/a ","Rain (or Drizzle)"
"17/07/2012 ",15,5,28,"n/a ",0,"n/a "," "
"18/07/2012 ",15,3,15.5,"n/a ",0,"n/a ","Fog"
"19/07/2012 ",15,5,12.4,"n/a ",0,"n/a "," "
"20/07/2012 ",16,11,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"21/07/2012 ",16,13,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"22/07/2012 ",17,14,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"23/07/2012 ",17,12,25.3,"n/a ","n/a ","n/a ","Fog Rain (or Drizzle)"
"24/07/2012 ",17,13,11.2,"n/a ","n/a ","n/a ","Fog Rain (or Drizzle)"
